fechaHora,cp_41001,cp_41003,cp_41005,cp_41010,cp_41020
2021-01-01T00:00:00+01:00,,8.4,,,
2021-01-01T01:00:00+01:00,,8.125,,,
2021-01-01T02:00:00+01:00,,7.545,,,
2021-01-01T03:00:00+01:00,,6.68,,,
2021-01-01T04:00:00+01:00,,6.47,,,
2021-01-01T05:00:00+01:00,,6.435,,,
2021-01-01T06:00:00+01:00,,6.735,,,
2021-01-01T07:00:00+01:00,,7.15,,,
2021-01-01T08:00:00+01:00,,8.735,,,
2021-01-01T09:00:00+01:00,,10.645,,,
2021-01-01T10:00:00+01:00,,12.74,,,
2021-01-01T11:00:00+01:00,,12.92,,,
2021-01-01T12:00:00+01:00,,12.325,,,
2021-01-01T13:00:00+01:00,,11.495,,,
2021-01-01T14:00:00+01:00,,10.86,,,
2021-01-01T15:00:00+01:00,,9.8,,,
2021-01-01T16:00:00+01:00,18.505,9.745,166.465,39.195,
2021-01-01T17:00:00+01:00,11.89,10.165,163.89,37.505,
2021-01-01T18:00:00+01:00,12.71,,162.315,38.08,
2021-01-01T19:00:00+01:00,12.67,10.135,168.69,40.315,
2021-01-01T20:00:00+01:00,12.655,10.615,172.75,39.97,
2021-01-01T21:00:00+01:00,12.61,9.91,160.365,36.915,
2021-01-01T22:00:00+01:00,10.625,8.52,147.345,31.75,
2021-01-01T23:00:00+01:00,9.81,7.935,137.73,30.435,
2021-01-02T00:00:00+01:00,7.715,7.35,127.3,28.365,
2021-01-02T01:00:00+01:00,5.76,6.845,118.06,24.37,
2021-01-02T02:00:00+01:00,7.485,6.58,110.49,23.295,
2021-01-02T03:00:00+01:00,7.28,6.205,109.695,22.665,
2021-01-02T04:00:00+01:00,6.575,6.235,109.485,22.245,
2021-01-02T05:00:00+01:00,8.605,6.495,111.245,23.415,
2021-01-02T06:00:00+01:00,10.15,6.8,119.325,26.42,
2021-01-02T07:00:00+01:00,12.675,8.14,135.215,30.465,
2021-01-02T08:00:00+01:00,14.385,9.635,163.325,40.3,
2021-01-02T09:00:00+01:00,16.755,11.305,192.935,49.475,
2021-01-02T10:00:00+01:00,17.16,13.24,211.11,51.04,
2021-01-02T11:00:00+01:00,16.21,12.535,207.96,50.155,
2021-01-02T12:00:00+01:00,15.095,12.7,203.305,51.325,
2021-01-02T13:00:00+01:00,14.48,11.5,195.37,47.805,
2021-01-02T14:00:00+01:00,13.8,10.56,179.71,42.27,
2021-01-02T15:00:00+01:00,12.625,10.045,168.625,40.3,
2021-01-02T16:00:00+01:00,11.165,9.985,167.015,38.905,
2021-01-02T17:00:00+01:00,10.94,10.16,165.21,39.75,
2021-01-02T18:00:00+01:00,10.02,9.865,168.82,40.255,
